	(6607)
been	(16)
brains	(1)
beguiled	(5)
labouring	(3)
second	(6)
backward	(3)
five	(3)
hundred	(3)
courses	(1)
Show	(6)
character	(5)
composed	(1)
wonder	(9)
Whether	(3)
mended	(1)
revolution	(1)
wits	(8)
subjects	(4)
worse	(10)
admiring	(1)
LX	(1)
waves	(3)
towards	(1)
pebbled	(1)
hasten	(1)
goes	(10)
sequent	(1)
forwards	(1)
contend	(2)
Nativity	(1)
main	(3)
Crawls	(1)
maturity	(1)
wherewith	(3)
crown	(5)
Crooked	(1)
elipses	(1)
confound	(5)
transfix	(1)
flourish	(1)
delves	(1)
parallels	(1)
Feeds	(1)
rarities	(1)
stands	(7)
mow	(1)
Praising	(1)
LXI	(1)
Dost	(4)
slumbers	(1)
broken	(8)
mock	(6)
home	(7)
pry	(2)
shames	(3)
idle	(8)
tenor	(2)
jealousy	(3)
It	(23)
awake	(1)
defeat	(1)
watchman	(1)
whilst	(2)
wake	(7)
elsewhere	(3)
near	(6)
LXII	(1)
Sin	(3)
possesseth	(1)
sin	(24)
remedy	(3)
grounded	(2)
Methinks	(1)
define	(1)
worths	(1)
surmount	(1)
indeed	(4)
Beated	(1)
chopp	(1)
tann	(1)
antiquity	(2)
contrary	(2)
Self	(3)
iniquity	(4)
Painting	(2)
LXIII	(1)
injurious	(3)
crush	(2)
worn	(3)
drain	(1)
travell	(1)
steepy	(1)
king	(15)
vanishing	(1)
confounding	(1)
knife	(14)
cut	(1)
LXIV	(1)
defaced	(2)
cost	(6)
outworn	(2)
towers	(3)
brass	(4)
Advantage	(1)
kingdom	(2)
firm	(1)
soil	(1)
win	(9)
watery	(5)
Increasing	(1)
interchange	(2)
confounded	(4)
Ruin	(1)
taught	(10)
ruminate	(1)
choose	(3)
fears	(13)
LXV	(1)
boundless	(2)
mortality	(2)
sways	(1)
power	(20)
action	(6)
flower	(20)
honey	(7)
wreckful	(1)
siege	(4)
battering	(1)
rocks	(3)
impregnable	(1)
stout	(1)
gates	(2)
steel	(10)
decays	(2)
fearful	(5)
meditation	(1)
spoil	(6)
miracle	(1)
ink	(3)
LXVI	(1)
Tired	(2)
restful	(1)
cry	(13)
beggar	(4)
needy	(1)
trimm	(1)
jollity	(1)
purest	(1)
faith	(9)
unhappily	(2)
forsworn	(7)
guilded	(1)
shamefully	(1)
misplaced	(1)
rudely	(3)
strumpeted	(1)
wrongfully	(1)
disgraced	(3)
limping	(1)
sway	(4)
disabled	(1)
tied	(9)
authority	(1)
doctor	(1)
simple	(8)
miscall	(1)
simplicity	(2)
captive	(4)
attending	(1)
LXVII	(1)
infection	(5)
impiety	(3)
advantage	(7)
achieve	(1)
lace	(1)
society	(2)
painting	(7)
imitate	(3)
seeing	(9)
indirectly	(1)
bankrupt	(4)
Beggar	(1)
blush	(10)
lively	(5)
veins	(5)
exchequer	(1)
gains	(1)
stores	(2)
last	(17)
bad	(12)
LXVIII	(1)
map	(4)
Before	(5)
bastard	(4)
signs	(7)
durst	(2)
inhabit	(1)
tresses	(1)
sepulchres	(3)
shorn	(1)
Ere	(7)
fleece	(2)
gay	(4)
Robbing	(1)
dress	(2)
yore	(1)
LXIX	(1)
Want	(1)
mend	(4)
tongues	(7)
voice	(10)
Uttering	(1)
commend	(3)
accents	(2)
shown	(3)
guess	(4)
measure	(2)
churls	(1)
add	(5)
rank	(7)
smell	(12)
weeds	(5)
matcheth	(1)
solve	(1)
common	(6)
LXX	(1)
defect	(4)
slander	(7)
mark	(9)
suspect	(4)
crow	(4)
flies	(7)
woo	(9)
vice	(3)
pure	(24)
unstained	(2)
ambush	(2)
Either	(2)
assail	(3)
victor	(3)
charged	(2)
tie	(4)
envy	(4)
enlarged	(1)
kingdoms	(1)
owe	(6)
LXXI	(1)
mourn	(6)
surly	(1)
bell	(4)
Give	(9)
warning	(1)
fled	(8)
vile	(9)
vilest	(1)
Nay	(5)
line	(4)
thinking	(4)
perhaps	(1)
compounded	(2)
clay	(2)
wise	(8)
LXXII	(1)
lest	(4)
task	(5)
recite	(1)
devise	(2)
hang	(8)
willingly	(1)
impart	(1)
untrue	(3)
shamed	(3)
LXXIII	(1)
few	(2)
boughs	(1)
Bare	(2)
ruin	(4)
choirs	(1)
late	(15)
birds	(17)
sang	(1)
seest	(2)
twilight	(1)
sunset	(1)
fadeth	(1)
seals	(2)
glowing	(3)
ashes	(2)
whereon	(5)
expire	(1)
Consumed	(1)
nourish	(1)
perceivest	(1)
makes	(30)
LXXIV	(1)
arrest	(2)
bail	(2)
carry	(3)
memorial	(1)
reviewest	(1)
review	(1)
consecrate	(1)
lost	(18)
dregs	(1)
coward	(7)
Too	(1)
remembered	(1)
contains	(2)
remains	(6)
LXXV	(1)
food	(2)
season	(5)
showers	(4)
ground	(14)
peace	(5)
strife	(10)
twixt	(5)
miser	(1)
enjoyer	(1)
anon	(2)
Doubting	(1)
filching	(1)
counting	(1)
feasting	(3)
clean	(1)
starved	(1)
Possessing	(1)
pursuing	(1)
pine	(7)
surfeit	(5)
gluttoning	(1)
LXXVI	(1)
variation	(1)
glance	(3)
aside	(3)
methods	(1)
compounds	(2)
noted	(3)
word	(8)
Showing	(3)
proceed	(2)
always	(4)
dressing	(1)
Spending	(1)
already	(2)
spent	(13)
telling	(2)
LXXVII	(1)
dial	(4)
vacant	(1)
imprint	(1)
learning	(3)
mouthed	(1)
graves	(2)
shady	(2)
stealth	(1)
progress	(1)
eternity	(6)
contain	(1)
Commit	(1)
blanks	(1)
nursed	(1)
deliver	(1)
brain	(11)
acquaintance	(4)
offices	(1)
profit	(2)
enrich	(3)
LXXVIII	(1)
invoked	(1)
assistance	(1)
alien	(1)
got	(4)
poesy	(1)
disperse	(1)
ignorance	(2)
aloft	(2)
fly	(14)
Have	(13)
added	(4)
feathers	(3)
learned	(4)
wing	(3)
double	(9)
compile	(1)
works	(4)
arts	(1)
graced	(2)
advance	(3)
LXXIX	(1)
aid	(6)
sick	(15)
grant	(5)
Deserves	(1)
travail	(2)
worthier	(1)
He	(66)
pays	(4)
stole	(4)
behavior	(2)
afford	(2)
thank	(1)
owes	(1)
LXXX	(1)
faint	(8)
Knowing	(2)
thereof	(4)
spends	(2)
fame	(15)
humble	(5)
proudest	(1)
sail	(3)
saucy	(2)
bark	(5)
inferior	(1)
broad	(2)
wilfully	(1)
Your	(8)
shallowest	(1)
afloat	(1)
soundless	(1)
wreck	(3)
worthless	(3)
boat	(1)
tall	(1)
building	(1)
goodly	(3)
LXXXI	(1)
epitaph	(1)
forgotten	(1)
immortal	(3)
yield	(10)
entombed	(2)
monument	(3)
breathers	(1)
breathes	(3)
mouths	(3)
LXXXII	(1)
attaint	(5)
erlook	(1)
dedicated	(1)
writers	(1)
blessing	(1)
Finding	(4)
limit	(3)
enforced	(5)
anew	(5)
Some	(18)
fresher	(1)
stamp	(5)
devised	(1)
strained	(1)
rhetoric	(2)
sympathized	(2)
plain	(7)
gross	(5)
cheeks	(22)
abused	(2)
LXXXIII	(1)
saw	(18)
exceed	(3)
debt	(5)
slept	(1)
extant	(1)
modern	(1)
quill	(3)
Speaking	(2)
silence	(3)
impute	(1)
impair	(1)
mute	(6)
There	(11)
LXXXIV	(1)
confine	(2)
immured	(2)
example	(4)
equal	(2)
grew	(6)
Lean	(2)
penury	(1)
writes	(1)
dignifies	(1)
story	(9)
making	(6)
counterpart	(1)
admired	(3)
blessings	(1)
praises	(5)
LXXXV	(1)
holds	(7)
comments	(2)
richly	(1)
compiled	(1)
phrase	(1)
Muses	(1)
filed	(2)
unletter	(1)
clerk	(1)
Amen	(1)
hymn	(1)
able	(1)
affords	(3)
polish	(1)
refined	(1)
Hearing	(1)
praised	(5)
something	(4)
hindmost	(1)
Me	(2)
LXXXVI	(1)
Was	(7)
Bound	(1)
ripe	(2)
inhearse	(1)
spirits	(5)
Above	(1)
struck	(4)
neither	(11)
compeers	(1)
Giving	(1)
astonished	(1)
affable	(1)
familiar	(1)
ghost	(2)
gulls	(1)
intelligence	(1)
victors	(2)
countenance	(2)
enfeebled	(1)
LXXXVII	(1)
Farewell	(3)
possessing	(1)
estimate	(1)
releasing	(2)
bonds	(3)
determinate	(1)
granting	(1)
riches	(2)
deserving	(1)
patent	(1)
swerving	(1)
knowing	(3)
mistaking	(1)
misprision	(1)
Comes	(3)
dream	(6)
waking	(4)
LXXXVIII	(1)
disposed	(1)
weakness	(2)
conceal	(1)
attainted	(1)
gainer	(1)
bending	(3)
injuries	(2)
Doing	(1)
vantage	(4)
LXXXIX	(1)
Say	(4)
lameness	(1)
halt	(3)
desired	(4)
strangle	(1)
walks	(3)
profane	(1)
haply	(2)
vow	(14)
debate	(3)
XC	(1)
bent	(6)
Join	(1)
bow	(11)
drop	(5)
scoped	(1)
rearward	(1)
conquer	(5)
windy	(3)
rainy	(1)
linger	(1)
purposed	(2)
overthrow	(2)
griefs	(3)
onset	(2)
At	(19)
strains	(1)
Compared	(1)
XCI	(1)
bodies	(1)
garments	(2)
fangled	(1)
hawks	(2)
hounds	(8)
humour	(5)
adjunct	(3)
Wherein	(6)
finds	(9)
above	(5)
particulars	(1)
general	(7)
Richer	(1)
prouder	(1)
horses	(1)
Wretched	(1)
wretched	(11)
XCII	(1)
depends	(2)
depend	(2)
vex	(3)
revolt	(1)
Happy	(1)
XCIII	(1)
supposing	(1)
deceived	(3)
hatred	(1)
history	(1)
moods	(1)
frowns	(2)
creation	(3)
decree	(2)
Whate	(1)
workings	(1)
sweetness	(3)
Eve	(1)
apple	(1)
XCIV	(1)
hurt	(4)
Unmoved	(1)
rightly	(1)
inherit	(1)
lords	(6)
owners	(1)
Others	(1)
stewards	(1)
excellence	(2)
outbraves	(1)
dignity	(2)
turn	(17)
sourest	(1)
Lilies	(1)
fester	(1)
XCV	(1)
fragrant	(2)
spot	(2)
budding	(1)
enclose	(1)
lascivious	(1)
sport	(10)
Cannot	(1)
dispraise	(1)
Naming	(1)
blesses	(1)
mansion	(3)
vices	(2)
habitation	(1)
chose	(2)
veil	(3)
heed	(1)
hardest	(1)
XCVI	(1)
wantonness	(1)
resort	(2)
finger	(2)
throned	(1)
queen	(16)
esteem	(4)
errors	(6)
truths	(1)
translated	(1)
lambs	(2)
stem	(1)
wolf	(5)
betray	(6)
lamb	(5)
translate	(1)
gazers	(2)
mightst	(2)
XCVII	(1)
fleeting	(2)
freezings	(1)
felt	(5)
December	(1)
teeming	(1)
autumn	(2)
big	(1)
wanton	(8)
wombs	(1)
abundant	(1)
orphans	(1)
unfather	(2)
fruit	(2)
pleasures	(6)
cheer	(5)
dreading	(1)
XCVIII	(1)
pied	(1)
trim	(3)
Saturn	(1)
laugh	(4)
lays	(5)
different	(2)
Could	(4)
lap	(1)
lily	(8)
vermilion	(1)
figures	(2)
Drawn	(1)
XCIX	(1)
forward	(2)
smells	(1)
purple	(5)
soft	(14)
dwells	(2)
grossly	(1)
dyed	(2)
condemned	(1)
marjoram	(1)
hair	(7)
fearfully	(2)
One	(12)
blushing	(8)
despair	(7)
third	(1)
red	(35)
annex	(1)
theft	(4)
growth	(5)
vengeful	(1)
colour	(18)
C	(1)
Spend	(1)
fury	(5)
Darkening	(1)
forgetful	(1)
redeem	(1)
idly	(1)
Sing	(1)
Rise	(1)
resty	(1)
wrinkle	(2)
graven	(1)
satire	(1)
spoils	(1)
faster	(2)
prevent	(5)
crooked	(4)
CI	(1)
truant	(1)
amends	(2)
neglect	(3)
dignified	(2)
Truth	(4)
intermix	(1)
Because	(5)
Excuse	(1)
ages	(1)
office	(6)
CII	(1)
strengthen	(1)
merchandized	(1)
esteeming	(1)
owner	(3)
publish	(2)
Our	(2)
wont	(3)
Philomel	(3)
front	(1)
stops	(5)
pipe	(2)
pleasant	(4)
mournful	(1)
hush	(2)
wild	(7)
burthens	(1)
bough	(2)
CIII	(1)
Alack	(1)
beside	(4)
appears	(5)
over	(9)
Dulling	(1)
sinful	(3)
striving	(2)
mar	(1)
verses	(1)
gifts	(1)
CIV	(1)
eyed	(1)
seems	(13)
Three	(5)
forests	(1)
shook	(1)
three	(5)
summers	(1)
springs	(3)
process	(1)
perfumes	(2)
Junes	(1)
Steal	(2)
figure	(1)
perceived	(1)
unbred	(1)
CV	(1)
idolatry	(1)
idol	(2)
alike	(1)
songs	(2)
Kind	(1)
Still	(4)
wondrous	(4)
constancy	(4)
confined	(3)
expressing	(1)
difference	(2)
Fair	(10)
varying	(1)
themes	(1)
CVI	(1)
chronicle	(1)
wasted	(4)
descriptions	(1)
wights	(1)
beautiful	(2)
ladies	(3)
knights	(1)
blazon	(2)
lip	(2)
prophecies	(2)
prefiguring	(1)
divining	(2)
CVII	(1)
prophetic	(1)
dreaming	(2)
Supposed	(1)
forfeit	(2)
eclipse	(1)
endured	(2)
augurs	(1)
presage	(2)
Incertainties	(1)
proclaims	(1)
olives	(1)
endless	(2)
drops	(8)
balmy	(1)
subscribes	(1)
insults	(1)
tribes	(1)
crests	(1)
tombs	(2)
CVIII	(1)
figured	(2)
register	(3)
Nothing	(1)
boy	(14)
prayers	(3)
divine	(6)
Counting	(1)
hallow	(1)
case	(5)
Weighs	(1)
necessary	(1)
aye	(1)
page	(1)
bred	(9)
CIX	(1)
qualify	(1)
easy	(2)
ranged	(1)
travels	(1)
Just	(1)
exchanged	(1)
Never	(3)
frailties	(2)
besiege	(3)
kinds	(4)
preposterously	(1)
universe	(1)
CX	(1)
Alas	(6)
motley	(1)
Gored	(1)
sold	(1)
cheap	(1)
Made	(4)
offences	(4)
affections	(4)
Askance	(1)
blenches	(1)
essays	(1)
proved	(4)
grind	(1)
newer	(3)
proof	(5)
older	(1)
next	(4)
CXI	(1)
Fortune	(7)
guilty	(11)
goddess	(4)
harmful	(2)
provide	(1)
breeds	(6)
Thence	(1)
comes	(9)
receives	(5)
brand	(5)
subdued	(2)
dyer	(1)
patient	(3)
drink	(5)
Potions	(1)
eisel	(1)
bitter	(5)
penance	(1)
correct	(1)
correction	(1)
assure	(2)
pity	(20)
cure	(10)
CXII	(1)
impression	(4)
scandal	(4)
strive	(9)
None	(4)
changes	(1)
profound	(1)
abysm	(1)
throw	(2)
voices	(1)
adder	(3)
critic	(1)
flatterer	(1)
stopped	(1)
dispense	(4)
CXIII	(1)
governs	(1)
about	(8)
function	(1)
partly	(1)
Seems	(1)
effectually	(1)
delivers	(2)
bird	(8)
latch	(3)
objects	(5)
vision	(1)
catch	(6)
rudest	(1)
gentlest	(1)
deformed	(2)
creature	(5)
dove	(5)
shapes	(2)
feature	(1)
Incapable	(1)
CXIV	(1)
Drink	(1)
monarch	(2)
plague	(6)
saith	(5)
monsters	(1)
indigest	(1)
cherubins	(1)
resemble	(2)
Creating	(1)
beams	(3)
assemble	(1)
kingly	(1)
drinks	(2)
gust	(2)
greeing	(1)
palate	(3)
cup	(1)
poison	(7)
lesser	(4)
begin	(6)
CXV	(1)
knew	(6)
reason	(20)
afterwards	(1)
reckoning	(1)
million	(1)
accidents	(1)
Creep	(1)
vows	(7)
decrees	(1)
Tan	(1)
intents	(1)
Divert	(1)
minds	(8)
altering	(1)
fearing	(5)
tyranny	(3)
Might	(2)
certain	(5)
incertainty	(1)
Crowning	(1)
doubting	(1)
Love	(48)
CXVI	(1)
marriage	(2)
Admit	(1)
impediments	(2)
alters	(2)
alteration	(1)
bends	(2)
remover	(1)
fixed	(2)
tempests	(1)
shaken	(2)
wandering	(3)
unknown	(5)
taken	(3)
rosy	(2)
lips	(42)
sickle	(2)
compass	(4)
weeks	(1)
error	(2)
CXVII	(1)
Accuse	(1)
scanted	(1)
repay	(1)
Forgot	(1)
Whereto	(4)
frequent	(1)
purchased	(1)
hoisted	(1)
transport	(1)
Book	(1)
wilfulness	(1)
just	(8)
surmise	(3)
accumulate	(1)
Bring	(1)
level	(3)
shoot	(3)
waken	(1)
appeal	(3)
CXVIII	(1)
appetites	(1)
eager	(3)
urge	(3)
maladies	(3)
We	(4)
sicken	(1)
shun	(5)
sickness	(2)
purge	(2)
tuff	(1)
cloying	(1)
sauces	(1)
welfare	(2)
meetness	(1)
diseased	(2)
needing	(2)
policy	(4)
anticipate	(1)
ills	(2)
medicine	(1)
healthful	(2)
goodness	(2)
cured	(2)
lesson	(2)
Drugs	(1)
CXIX	(1)
potions	(1)
drunk	(1)
Siren	(1)
Distill	(1)
limbecks	(1)
foul	(40)
Applying	(2)
hopes	(3)
committed	(3)
spheres	(2)
fitted	(1)
distraction	(1)
madding	(1)
fever	(3)
built	(4)
Grows	(1)
rebuked	(1)
CXX	(1)
unkind	(6)
befriends	(1)
Needs	(1)
transgression	(1)
nerves	(1)
hammer	(2)
unkindness	(3)
ve	(1)
weigh	(1)
suffered	(1)
deepest	(1)
hard	(17)
hits	(1)
wounded	(5)
bosoms	(3)
fits	(3)
becomes	(2)
fee	(6)
ransoms	(1)
CXXI	(1)
reproach	(6)
feeling	(8)
adulterate	(3)
salutation	(1)
sportive	(2)
frailer	(1)
spies	(5)
wills	(4)
abuses	(4)
reckon	(2)
bevel	(1)
maintain	(2)
badness	(1)
CXXII	(1)
tables	(2)
lasting	(4)
Beyond	(1)
faculty	(1)
subsist	(1)
oblivion	(3)
miss	(3)
retention	(1)
tallies	(1)
score	(1)
bold	(11)
receive	(2)
import	(1)
forgetfulness	(1)
CXXIII	(1)
pyramids	(1)
novel	(1)
dressings	(1)
dates	(1)
admire	(2)
foist	(1)
rather	(2)
heard	(6)
registers	(1)
defy	(2)
wondering	(3)
records	(1)
continual	(3)
CXXIV	(1)
Weeds	(1)
gather	(2)
builded	(2)
accident	(2)
suffers	(1)
smiling	(4)
pomp	(1)
falls	(9)
Under	(10)
blow	(9)
thralled	(1)
discontent	(6)
inviting	(1)
heretic	(1)
leases	(1)
hugely	(1)
politic	(1)
drowns	(2)
fools	(5)
CXXV	(1)
bore	(3)
extern	(1)
honouring	(1)
laid	(6)
bases	(1)
ruining	(1)
dwellers	(1)
Lose	(1)
paying	(1)
rent	(1)
compound	(3)
forgoing	(1)
savour	(2)
Pitiful	(1)
thrivers	(1)
gazing	(4)
oblation	(1)
mix	(4)
seconds	(1)
render	(4)
Hence	(1)
suborn	(1)
informer	(2)
impeach	(1)
CXXVI	(1)
fickle	(6)
waning	(2)
withering	(1)
wrack	(4)
goest	(1)
onwards	(1)
minion	(1)
detain	(2)
Her	(64)
delay	(2)
quietus	(1)
CXXVII	(1)
counted	(1)
successive	(1)
Fairing	(1)
borrow	(12)
bower	(1)
profaned	(3)
brows	(4)
raven	(1)
suited	(1)
mourners	(3)
Slandering	(1)
becoming	(2)
CXXVIII	(1)
wood	(6)
fingers	(5)
gently	(3)
wiry	(1)
jacks	(2)
kiss	(29)
harvest	(3)
reap	(1)
boldness	(1)
tickled	(1)
situation	(1)
dancing	(2)
chips	(1)
walk	(2)
gait	(4)
CXXIX	(1)
lust	(24)
perjured	(4)
Savage	(1)
extreme	(3)
Enjoy	(1)
sooner	(2)
Past	(3)
hunted	(2)
hated	(2)
swallow	(4)
bait	(2)
taker	(1)
mad	(13)
Mad	(2)
pursuit	(4)
bliss	(2)
proposed	(2)
CXXX	(1)
Coral	(1)
snow	(8)
breasts	(4)
dun	(2)
hairs	(4)
wires	(2)
damask	(2)
reeks	(1)
sound	(11)
treads	(4)
belied	(3)
CXXXI	(1)
tyrannous	(1)
proudly	(1)
err	(1)
swear	(12)
groans	(10)
neck	(8)
save	(3)
proceeds	(3)
CXXXII	(1)
pitying	(2)
torments	(2)
disdain	(14)
pretty	(9)
ruth	(2)
Better	(1)
grey	(1)
east	(2)
ushers	(1)
sober	(4)
mourning	(5)
become	(4)
beseem	(2)
suit	(9)
herself	(15)
CXXXIII	(1)
Beshrew	(1)
slavery	(1)
harder	(3)
engross	(1)
forsaken	(1)
threefold	(1)
Prison	(1)
ward	(2)
Whoe	(1)
rigor	(2)
gaol	(2)
Perforce	(2)
CXXXIV	(1)
mortgaged	(1)
restore	(2)
covetous	(1)
surety	(1)
bond	(3)
bind	(1)
statute	(1)
sue	(2)
came	(11)
debtor	(2)
whole	(6)
CXXXV	(1)
Whoever	(2)
boot	(1)
overplus	(1)
Wilt	(2)
spacious	(1)
acceptance	(3)
addeth	(1)
beseechers	(1)
Think	(3)
CXXXVI	(1)
Swear	(2)
admitted	(1)
fulfil	(4)
receipt	(2)
Among	(2)
untold	(2)
CXXXVII	(1)
corrupt	(3)
partial	(2)
anchor	(1)
bay	(3)
forged	(2)
hooks	(2)
several	(6)
plot	(1)
erred	(1)
transferr	(1)
CXXXVIII	(1)
swears	(4)
untutor	(2)
Unlearned	(1)
subtleties	(1)
vainly	(3)
Simply	(1)
credit	(2)
sides	(2)
suppress	(2)
unjust	(4)
habit	(4)
CXXXIX	(1)
justify	(1)
Wound	(1)
Use	(2)
slay	(8)
Tell	(2)
press	(6)
defense	(1)
dart	(3)
outright	(1)
rid	(2)
CXL	(1)
manner	(3)
testy	(3)
news	(3)
physicians	(1)
madness	(1)
wresting	(1)
slanderers	(1)
ears	(15)
believed	(1)
Bear	(1)
CXLI	(1)
despise	(3)
pleased	(5)
dote	(5)
tune	(6)
delighted	(1)
prone	(2)
invited	(1)
senses	(3)
Dissuade	(1)
foolish	(3)
serving	(1)
unsway	(1)
likeness	(3)
Only	(3)
awards	(1)
CXLII	(1)
Hate	(1)
merits	(1)
reproving	(2)
scarlet	(2)
ornaments	(2)
Robb	(1)
beds	(2)
revenues	(1)
rents	(2)
Whom	(1)
importune	(1)
Root	(1)
deserve	(2)
pitied	(1)
denied	(1)
CXLIII	(1)
housewife	(1)
runs	(6)
feather	(5)
broke	(4)
dispatch	(1)
neglected	(1)
chase	(8)
Cries	(1)
busy	(3)
follow	(4)
prizing	(1)
infant	(4)
runn	(1)
afar	(2)
pray	(4)
loud	(3)
crying	(2)
CXLIV	(1)
Two	(5)
suggest	(2)
angel	(10)
worser	(5)
female	(2)
Tempteth	(2)
saint	(5)
devil	(7)
Wooing	(2)
purity	(3)
fiend	(5)
Suspect	(2)
directly	(2)
doubt	(5)
CXLV	(1)
Breathed	(1)
languish	(1)
woeful	(5)
Straight	(1)
mercy	(2)
Chiding	(1)
giving	(3)
flown	(1)
threw	(4)
saved	(1)
saying	(1)
CXLVI	(1)
Poor	(14)
centre	(1)
rebel	(3)
powers	(3)
array	(2)
dearth	(3)
costly	(1)
inheritors	(1)
excess	(3)
Eat	(1)
charge	(4)
aggravate	(1)
Buy	(1)
terms	(3)
selling	(1)
dross	(1)
fed	(7)
feed	(7)
feeds	(6)
dying	(7)
CXLVII	(1)
longing	(2)
nurseth	(1)
disease	(1)
Feeding	(1)
preserve	(1)
uncertain	(1)
sickly	(2)
physician	(2)
Angry	(1)
prescriptions	(1)
desperate	(7)
Desire	(5)
except	(1)
frantic	(1)
unrest	(2)
discourse	(2)
madmen	(1)
random	(2)
sworn	(6)
CXLVIII	(1)
correspondence	(1)
censures	(1)
falsely	(1)
aright	(1)
denote	(1)
watching	(1)
marvel	(2)
mistake	(2)
sees	(12)
clears	(3)
CXLIX	(1)
Canst	(1)
partake	(1)
Am	(1)
hateth	(1)
fawn	(3)
lour	(1)
Revenge	(2)
service	(1)
worship	(1)
Commanded	(1)
CL	(1)
insufficiency	(1)
brightness	(1)
Whence	(1)
refuse	(1)
warrantize	(1)
exceeds	(3)
abhor	(6)
unworthiness	(1)
raised	(1)
CLI	(1)
conscience	(4)
cheater	(1)
betraying	(1)
nobler	(1)
treason	(8)
Triumph	(1)
stays	(2)
rising	(2)
Proud	(2)
drudge	(1)
rise	(6)
CLII	(1)
swearing	(2)
act	(9)
torn	(2)
vowing	(1)
bearing	(6)
oaths	(6)
breach	(5)
accuse	(1)
twenty	(8)
misuse	(1)
honest	(3)
Oaths	(1)
enlighten	(1)
blindness	(1)
CLIII	(1)
Cupid	(3)
asleep	(2)
maid	(13)
Dian	(2)
kindling	(1)
quickly	(7)
valley	(1)
fountain	(4)
endure	(3)
seething	(1)
bath	(4)
fired	(1)
trial	(3)
withal	(4)
thither	(2)
hied	(2)
distemper	(1)
CLIV	(1)
lying	(1)
Laid	(1)
inflaming	(1)
nymphs	(2)
chaste	(8)
Came	(3)
tripping	(1)
votary	(1)
legions	(1)
sleeping	(6)
virgin	(1)
disarm	(1)
quenched	(1)
cool	(4)
Growing	(1)
thrall	(4)
heats	(1)
cools	(1)
END	(6)
VENUS	(1)
ADONIS	(1)
Vilia	(1)
miretur	(1)
vulgus	(1)
mihi	(1)
flavus	(1)
Apollo	(1)
Pocula	(1)
Castalia	(1)
plena	(1)
ministret	(1)
aqua	(1)
RIGHT	(3)
HONORABLE	(3)
HENRY	(2)
WRIOTHESLY	(2)
EARL	(1)
SOUTHAMPTON	(1)
BARON	(1)
TICHFIELD	(1)
KNOW	(1)
dedicating	(1)
unpolished	(1)
lordship	(4)
censure	(1)
choosing	(1)
prop	(1)
support	(2)
highly	(1)
honoured	(2)
graver	(1)
labour	(7)
noble	(4)
honourable	(3)
hopeful	(1)
expectation	(1)
WILLIAM	(2)
SHAKESPEARE	(2)
EVEN	(1)
ta	(2)
en	(2)
weeping	(10)
Rose	(1)
Hunting	(1)
Sick	(1)
thoughted	(2)
Venus	(9)
amain	(1)
faced	(6)
suitor	(1)
gins	(3)
Thrice	(1)
began	(10)
Stain	(1)
doves	(5)
Saith	(1)
Vouchsafe	(1)
alight	(1)
steed	(5)
rein	(5)
saddle	(1)
deign	(1)
meed	(2)
secrets	(2)
Here	(18)
serpent	(2)
hisses	(2)
kisses	(6)
cloy	(2)
loathed	(5)
satiety	(1)
amid	(1)
plenty	(3)
variety	(1)
beguiling	(2)
seizeth	(1)
sweating	(2)
palm	(2)
precedent	(3)
pith	(1)
livelihood	(1)
trembling	(8)
balm	(2)
Earth	(1)
enraged	(3)
Courageously	(1)
Over	(3)
arm	(4)
courser	(3)
pouted	(1)
leaden	(2)
unapt	(1)
toy	(3)
coals	(2)
frosty	(1)
studded	(1)
bridle	(1)
Nimbly	(1)
fastens	(1)
stalled	(1)
Backward	(1)
push	(2)
govern	(2)
along	(2)
leaning	(1)
elbows	(1)
hips	(1)
stroke	(2)
kissing	(4)
speaks	(5)
lustful	(3)
language	(1)
burns	(3)
bashful	(2)
quench	(5)
fan	(1)
seeks	(5)
immodest	(1)
blames	(1)
murders	(2)
empty	(2)
eagle	(2)
Tires	(1)
beak	(2)
bone	(3)
Shaking	(2)
wings	(7)
devouring	(2)
gorge	(1)
stuff	(1)
kissed	(1)
chin	(5)
ends	(2)
Forced	(2)
obey	(5)
Panting	(1)
breatheth	(2)
feedeth	(1)
steam	(1)
moisture	(3)
dew	(5)
distilling	(1)
tangled	(1)
net	(1)
fasten	(1)
arms	(19)
Pure	(3)
awed	(1)
resistance	(2)
fret	(3)
angry	(8)
Rain	(1)
river	(4)
overflow	(1)
bank	(2)
entreats	(2)
prettily	(1)
tunes	(3)
tale	(9)
lours	(1)
frets	(3)
Twixt	(2)
crimson	(3)
ashy	(3)
truce	(1)
contending	(4)
countless	(1)
raise	(2)
dive	(1)
dapper	(1)
peering	(1)
wave	(2)
ducks	(1)
offers	(1)
ready	(2)
winks	(2)
passenger	(1)
thirst	(1)
bathes	(2)
gan	(5)
flint	(4)
beg	(2)
coy	(3)
entreat	(1)
stern	(3)
direful	(2)
sinewy	(1)
battle	(5)
conquers	(1)
jar	(1)
begg	(1)
unask	(1)
altars	(1)
lance	(1)
batter	(4)
shield	(2)
uncontrolled	(2)
crest	(5)
dance	(1)
dally	(2)
smile	(6)
jest	(4)
Scorning	(1)
churlish	(3)
drum	(1)
ensign	(1)
tent	(3)
overruled	(1)
oversway	(1)
Leading	(1)
chain	(2)
Strong	(1)
tempered	(1)
servile	(3)
mastering	(2)
Touch	(1)
balls	(3)
ashamed	(2)
revels	(2)
blue	(5)
vein	(2)
violets	(1)
lean	(5)
